RL,Jugador,País,Posc,Posc 2,Equipo,Edad,Rango Etario,Minutos,PenEjec,Goles/90,Ast/90,G+a/90,ACT.ACT,ACT.SCA90,PassLive,PassDead,HASTA,TiroalTiro,FaltRecib,ACG.ACG,ACG.GCA90,Toques,3. Ataq,Ataq.Pen,Ataq.Pen.PORC,3.Ataq.PORC,Tomas.Balónvivo,Att,Exitosa.PORC,Dist. tot.,Dist. Prg,Rec,PrgR,TiPas.Balónvivo,PL,Camb,PA,Bloqueos,Goles,Disp,PORC de TT,TalArc/90,G/T,DistDisp,Cmp,Total.Intent,Total.Cmp.PORC,Cortos.Cmp,Cortos.Intent,Cortos.Cmp.PORC,Derribos.Tkl,Derribos.TklG,Desafio.Tkl,Desafio.Tkl.PORC,Bloqueos.1,Tkl+Int,Penal concedido,Recup.,Aer.Ganados,Aer.Ganados.PORC
90,DOMINIC CALVERT-LEWIN,ENG,DL,DL,Everton,26,Maduro,2171,2,0.29,0.08,0.37,54,2.24,37,0,4,7,4,6,0.25,738,399,124,0.17,0.54,736,43,32.6,2068,794,565,122,437,1,0,2,15,7,71,39.4,1.16,0.07,13.9,248,440,56.4,175,271,64.6,13,6,2,13.3,14,17,0,46,137,48.8
92,DIEGO CARLOS,BRA,DF,DF,Aston Villa,30,Maduro,1816,0,0,0,0,9,0.45,9,0,0,0,0,2,0.1,1517,43,23,0.02,0.03,1517,4,50,4786,2606,1118,1,1293,0,6,0,4,0,10,10,0.05,0,9.1,1184,1340,88.4,357,378,94.4,27,16,13,61.9,24,40,0,78,21,44.7
94,CASEMIRO,BRA,CC,DF,Manchester United,31,Veterano,1982,0,0.05,0.09,0.14,41,1.86,35,2,0,3,1,4,0.18,1762,245,45,0.03,0.14,1762,18,50,3576,1729,1163,36,1385,4,6,6,18,1,39,23.1,0.41,0.03,17.1,1165,1425,81.8,536,596,89.9,83,56,51,48.1,74,101,1,133,42,65.6
96,MATTY CASH,POL,DF,DF,Aston Villa,25,Maduro,2142,0,0.08,0.08,0.17,44,1.85,34,1,0,6,2,8,0.34,1496,364,54,0.04,0.24,1496,41,29.3,4871,2233,895,101,1043,0,3,1,24,2,33,39.4,0.55,0.06,16.2,985,1225,80.4,490,545,89.9,54,31,29,49.2,35,72,1,110,15,41.7
97,TIMOTHY CASTAGNE,BEL,DF,DF,Fulham,27,Maduro,2634,0,0.03,0.1,0.14,50,1.71,39,2,4,4,0,2,0.07,1937,418,58,0.03,0.22,1937,30,56.7,3780,1855,1121,113,1373,2,2,3,55,1,14,28.6,0.14,0.07,11.3,1350,1662,81.2,705,794,88.8,49,24,26,59.1,38,87,0,119,35,52.2
99,TREVOH CHALOBAH,ENG,DF,DF,Chelsea,24,Promesa,952,0,0.09,0,0.09,5,0.47,5,0,0,0,0,1,0.09,886,63,4,0.01,0.07,886,2,50,1552,709,633,9,746,1,0,1,1,1,2,100,0.19,0.5,9.5,700,783,89.4,278,302,92.1,16,12,10,66.7,8,24,0,46,19,46.3
100,CALUM CHAMBERS,ENG,CC,DF,Aston Villa,28,Maduro,152,0,0,0.59,0.59,1,0.6,1,0,0,0,0,0,0,129,12,0,0,0.09,129,1,100,349,158,99,1,113,0,1,0,2,0,0,0,0,0,0,100,113,88.5,47,50,94,3,0,0,0,2,5,0,8,1,50
101,YOUSSEF CHERMITI,POR,DL,DL,Everton,19,Promesa,208,0,0,0,0,7,3.03,5,0,1,1,0,0,0,106,59,19,0.18,0.56,106,11,27.3,320,105,76,15,57,0,0,0,0,0,7,28.6,0.87,0,14.6,35,58,60.3,19,32,59.4,3,2,1,20,4,4,0,9,15,44.1
102,BEN CHILWELL,ENG,DF,DF,Chelsea,26,Maduro,756,0,0,0.12,0.12,22,2.62,11,8,0,1,2,2,0.24,605,221,28,0.05,0.37,605,19,36.8,1713,844,394,59,416,0,0,6,19,0,12,33.3,0.48,0,16.6,373,495,75.4,230,259,88.8,15,10,5,62.5,11,19,0,33,12,44.4
103,TAWANDA CHIREWA,ZIM,CC,DL,Wolverhampton,19,Promesa,145,0,0,0,0,3,1.86,3,0,0,0,0,0,0,86,26,5,0.06,0.3,86,3,33.3,189,55,62,8,54,0,0,1,2,0,3,33.3,0.62,0,21,46,58,79.3,29,31,93.5,7,3,2,66.7,0,8,0,3,1,25
104,LEON CHIWOME,ENG,DL,DL,Wolverhampton,17,Filial,174,0,0,0,0,1,0.52,1,0,0,0,0,0,0,39,10,4,0.1,0.26,39,0,0,86,50,18,7,18,0,0,0,1,0,2,0,0,0,11.2,19,22,86.4,12,13,92.3,2,1,1,50,3,2,0,5,2,25
105,TAHITH CHONG,NED,CC,DL,Luton Town,23,Promesa,1982,0,0.18,0,0.18,49,2.22,31,0,3,2,11,4,0.18,819,324,52,0.06,0.4,819,72,34.7,3559,1880,560,101,515,5,6,4,21,4,31,22.6,0.32,0.13,16.6,428,550,77.8,227,257,88.3,36,22,15,45.5,30,44,0,104,9,29
106,RYAN CHRISTIE,SCO,CC,CC,Bournemouth,28,Maduro,2907,0,0,0.15,0.15,117,3.62,88,8,7,5,6,6,0.19,1737,564,69,0.04,0.33,1737,98,52,5769,2681,987,78,1217,17,18,5,26,0,43,30.2,0.4,0,20,988,1300,76,399,467,85.4,86,44,39,42.4,52,138,1,231,21,35.6
107,CARNEY CHUKWUEMEKA,ENG,CC,DL,Chelsea,19,Promesa,227,0,0.4,0.4,0.79,9,3.57,7,0,1,1,0,4,1.59,167,72,12,0.07,0.43,167,12,16.7,646,231,129,19,134,2,0,0,4,1,3,66.7,0.79,0.33,19.9,115,134,85.8,82,88,93.2,6,4,1,33.3,1,6,0,11,1,25
109,JORDAN CLARK,ENG,CC,CC,Luton Town,29,Maduro,1304,0,0.07,0.07,0.14,29,2,23,0,2,3,1,1,0.07,694,234,42,0.06,0.34,694,42,28.6,2122,1004,439,39,475,1,6,2,18,1,17,23.5,0.28,0.06,16.9,369,513,71.9,180,231,77.9,30,17,11,28.2,24,41,0,59,18,54.5
110,NATHANIEL CLYNE,ENG,DF,DF,Crystal Palace,32,Veterano,1338,0,0,0,0,8,0.54,6,0,0,1,0,1,0.07,722,131,7,0.01,0.18,722,16,50,1435,658,412,18,539,0,0,3,16,0,4,0,0,0,22.5,495,600,82.5,266,288,92.4,24,15,14,66.7,18,34,0,50,13,61.9
111,SÉAMUS COLEMAN,IRL,DF,DF,Everton,34,Veterano,665,0,0,0,0,6,0.81,5,0,1,0,0,0,0,388,103,3,0.01,0.27,388,13,46.2,837,387,176,16,232,0,1,4,11,0,0,0,0,0,0,207,306,67.6,111,132,84.1,17,14,11,68.8,12,24,0,39,1,20
112,NATHAN COLLINS,IRL,DF,DF,Brentford,22,Promesa,2652,0,0.03,0.03,0.07,24,0.81,22,0,0,1,0,2,0.07,1879,140,48,0.03,0.08,1879,17,64.7,4658,2636,1126,18,1423,2,13,6,16,1,10,20,0.07,0.1,9.9,1261,1552,81.3,462,528,87.5,38,20,19,65.5,46,82,0,136,73,67.6
113,LEVI COLWILL,ENG,DF,DF,Chelsea,20,Promesa,1797,0,0.05,0.05,0.1,27,1.35,21,1,1,4,0,3,0.15,1392,164,26,0.02,0.12,1392,13,69.2,3602,1985,873,27,1033,4,0,4,17,1,11,27.3,0.15,0.09,11.9,965,1163,83,444,495,89.7,48,30,26,76.5,28,74,0,96,43,68.3
114,LEWIS COOK,ENG,CC,CC,Bournemouth,26,Maduro,2786,0,0,0.1,0.1,77,2.49,48,22,2,2,0,4,0.13,1773,382,9,0.01,0.22,1773,36,58.3,3970,1971,865,15,1290,2,3,2,25,0,12,33.3,0.13,0,24,1135,1487,76.3,458,539,85,61,41,34,54,32,126,0,228,42,59.2
116,MAXWEL CORNET,CIV,CC,DL,West Ham United,26,Maduro,112,0,0.8,0,0.8,5,4.02,4,0,0,1,0,0,0,68,35,8,0.12,0.52,68,2,0,280,84,41,8,48,0,0,0,2,1,4,25,0.8,0.25,12.5,36,49,73.5,27,34,79.4,3,2,1,20,2,5,0,8,0,0
117,VLADIMÍR COUFAL,CZE,DF,DF,West Ham United,30,Maduro,3132,0,0,0.2,0.2,77,2.21,50,18,3,2,3,12,0.34,2025,501,26,0.01,0.25,2025,38,31.6,4956,2431,1010,126,1317,2,4,11,56,0,8,25,0.06,0,22.6,1154,1665,69.3,596,669,89.1,64,41,38,50.7,49,107,1,154,40,51.9
119,AARON CRESSWELL,ENG,DF,DL,West Ham United,33,Veterano,436,0,0,0,0,12,2.48,7,3,0,0,2,1,0.21,326,61,1,0,0.19,326,1,0,522,220,210,6,245,0,4,0,3,0,0,0,0,0,0,254,308,82.5,142,155,91.6,3,2,2,66.7,5,6,0,18,6,66.7
120,MARC CUCURELLA,ESP,DF,DF,Chelsea,25,Maduro,1782,0,0,0.1,0.1,35,1.77,28,1,1,1,4,3,0.15,1426,270,27,0.02,0.19,1426,13,30.8,2861,1579,873,73,1043,1,2,0,26,0,8,50,0.2,0,14.4,1036,1196,86.6,595,645,92.2,62,38,34,53.1,36,84,1,96,22,56.4
121,JOSH CULLEN,IRL,CC,CC,Burnley,27,Maduro,2057,0,0.09,0.13,0.22,66,2.89,56,6,0,1,2,8,0.35,1555,321,18,0.01,0.21,1555,13,23.1,3351,1691,1065,22,1311,5,2,5,19,2,16,31.3,0.22,0.13,22.8,1173,1373,85.4,617,667,92.5,42,29,26,56.5,31,57,0,141,19,44.2
122,MATHEUS CUNHA,BRA,DL,CC,Wolverhampton,24,Promesa,2440,1,0.44,0.26,0.7,78,2.88,46,1,12,8,8,13,0.48,1220,474,121,0.1,0.39,1219,140,45.7,5683,3203,884,139,769,8,7,6,19,12,72,50,1.33,0.15,18,658,831,79.2,411,476,86.3,30,16,13,37.1,28,43,0,114,16,25.4
124,MAHMOUD DAHOUD,GER,CC,CC,Brighton,27,Maduro,452,0,0,0.2,0.2,13,2.59,13,0,0,0,0,2,0.4,368,58,4,0.01,0.16,368,5,40,951,406,303,6,326,1,0,0,8,0,6,16.7,0.2,0,26.8,284,328,86.6,169,176,96,9,4,3,33.3,4,10,0,26,0,0
125,AMEEN AL-DAKHIL,BEL,DF,DF,Burnley,21,Promesa,1056,0,0.09,0,0.09,8,0.68,5,0,1,2,0,1,0.09,749,58,10,0.01,0.08,749,5,60,2471,1351,495,9,590,2,2,2,6,1,8,37.5,0.26,0.13,16,537,637,84.3,208,220,94.5,12,5,1,10,13,24,1,50,14,37.8
126,DIOGO DALOT,POR,DF,DF,Manchester United,24,Promesa,3174,0,0.06,0.09,0.14,78,2.21,67,4,2,3,1,7,0.2,2196,587,48,0.02,0.27,2196,52,59.6,5413,2901,1255,111,1546,1,7,7,39,2,30,23.3,0.2,0.07,21,1486,1830,81.2,729,817,89.2,81,51,51,68.9,44,118,1,195,32,56.1
127,MIKKEL DAMSGAARD,DEN,CC,CC,Brentford,23,Promesa,842,0,0,0.21,0.21,26,2.78,18,3,0,3,1,5,0.54,555,195,20,0.04,0.35,555,20,45,1578,846,346,32,409,10,3,2,19,0,9,44.4,0.43,0,18,300,432,69.4,151,194,77.8,29,17,14,35,23,40,0,57,12,52.2
128,DANILO,BRA,CC,CC,Nottingham Forest,22,Promesa,1792,0,0.1,0.1,0.2,48,2.41,34,5,4,4,1,4,0.2,977,191,16,0.02,0.2,977,26,65.4,2547,1178,592,28,717,4,9,6,15,2,23,30.4,0.35,0.09,21,589,758,77.7,255,297,85.9,36,18,21,45.7,33,71,1,118,14,58.3
129,ARNAUT DANJUMA,NED,CC,DL,Everton,26,Maduro,595,0,0.15,0,0.15,18,2.72,9,0,1,5,2,1,0.15,223,127,32,0.14,0.57,223,21,38.1,1182,599,147,44,147,1,1,0,8,1,25,36,1.36,0.04,16,102,152,67.1,57,69,82.6,6,4,1,25,4,9,0,25,3,37.5
132,DAVID DATRO FOFANA,CIV,DL,DL,Burnley,20,Promesa,879,0,0.41,0.1,0.51,18,1.84,8,0,4,4,1,2,0.2,307,147,45,0.15,0.48,307,41,36.6,1226,527,222,39,167,1,0,2,8,4,19,52.6,1.02,0.21,14,117,173,67.6,67,94,71.3,10,5,3,50,9,11,0,22,13,28.3
133,BEN DAVIES,WAL,DF,DF,Tottenham Hotspur,30,Maduro,1090,0,0.08,0,0.08,15,1.24,14,0,0,0,1,2,0.17,972,96,23,0.02,0.1,972,10,40,3265,2044,685,20,788,3,3,1,10,1,12,16.7,0.17,0.08,11.8,766,850,90.1,303,324,93.5,24,17,16,76.2,17,34,0,53,29,58
134,TOM DAVIES,ENG,CC,CC,Sheffield United,25,Maduro,221,0,0,0,0,6,2.44,4,0,0,1,0,1,0.41,142,34,5,0.04,0.24,142,8,25,381,167,76,3,92,1,0,2,5,0,4,25,0.41,0,15.4,68,99,68.7,41,50,82,10,5,3,33.3,2,13,1,21,3,50
135,CRAIG DAWSON,ENG,DF,DF,Wolverhampton,33,Veterano,2209,0,0.04,0.04,0.08,12,0.49,8,0,0,3,0,1,0.04,1529,54,34,0.02,0.04,1529,3,100,4227,1932,997,4,1236,2,22,3,9,1,16,31.3,0.2,0.06,11.2,1104,1277,86.5,296,333,88.9,30,20,22,64.7,51,46,0,100,63,66.3
136,KEVIN DE BRUYNE,BEL,CC,CC,Manchester City,32,Veterano,1221,0,0.29,0.74,1.03,100,7.36,73,17,2,5,3,16,1.18,1103,724,86,0.08,0.66,1103,33,30.3,2916,1647,833,133,840,11,6,7,27,4,44,38.6,1.25,0.09,21.4,732,971,75.4,426,481,88.6,14,9,7,35,5,18,0,54,6,54.5
137,HANNES DELCROIX,BEL,DF,DF,Burnley,24,Promesa,589,0,0,0,0,7,1.07,7,0,0,0,0,0,0,419,40,4,0.01,0.1,419,6,50,847,451,268,6,320,0,0,1,2,0,4,50,0.31,0,11.2,300,350,85.7,145,155,93.5,10,6,3,75,9,19,0,29,8,47.1
138,LEANDER DENDONCKER,BEL,CC,CC,Aston Villa,28,Maduro,119,0,0.76,0,0.76,2,1.51,1,0,0,0,1,1,0.76,80,12,2,0.03,0.15,80,0,0,124,27,39,2,56,0,1,0,0,1,2,50,0.76,0.5,12.5,45,56,80.4,24,28,85.7,6,4,4,80,5,8,0,4,4,44.4
139,MOUSSA DIABY,FRA,DL,CC,Aston Villa,24,Promesa,2174,0,0.25,0.33,0.58,80,3.31,64,1,6,7,2,10,0.41,824,470,136,0.17,0.57,824,70,41.4,3926,2013,620,183,567,6,2,1,15,6,54,40.7,0.91,0.11,15.9,485,619,78.4,280,329,85.1,12,5,4,18.2,8,21,0,62,2,11.8
140,AMAD DIALLO,CIV,DL,CC,Manchester United,21,Promesa,390,0,0.23,0.23,0.46,20,4.62,16,0,3,1,0,0,0,231,110,24,0.1,0.48,231,23,47.8,1035,355,163,31,166,0,1,0,3,1,10,40,0.92,0.1,19.3,149,170,87.6,105,115,91.3,10,3,3,42.9,3,11,0,14,4,40
142,RÚBEN DIAS,POR,DF,DF,Manchester City,26,Maduro,2559,0,0,0,0,35,1.23,28,0,0,5,0,4,0.14,2877,282,34,0.01,0.1,2877,1,0,10862,6693,2301,16,2567,2,7,3,8,0,20,40,0.28,0,15.2,2469,2635,93.7,1039,1076,96.6,39,20,19,73.1,32,69,1,108,47,52.8
143,LUIS DÍAZ,COL,DL,DL,Liverpool,26,Maduro,2629,0,0.27,0.17,0.45,163,5.58,121,1,17,15,8,9,0.31,1453,858,219,0.15,0.59,1453,140,47.9,7500,3690,1128,302,1040,4,11,6,29,8,94,34,1.1,0.09,15,898,1075,83.5,527,584,90.2,35,25,7,23.3,15,38,0,127,26,35.1
144,ERIC DIER,ENG,DF,DF,Tottenham Hotspur,29,Maduro,201,0,0,0,0,2,0.9,2,0,0,0,0,0,0,164,2,2,0.01,0.01,164,0,0,291,119,112,0,132,0,0,0,0,0,0,0,0,0,0,125,141,88.7,52,57,91.2,2,1,2,100,3,4,0,7,3,37.5
145,LUCAS DIGNE,FRA,DF,DF,Aston Villa,30,Maduro,2410,0,0.04,0.11,0.15,74,2.76,48,19,0,3,3,4,0.15,1590,593,56,0.04,0.37,1590,33,30.3,3630,1786,925,200,1095,0,4,3,42,1,20,20,0.15,0.05,20,1015,1351,75.1,524,594,88.2,47,19,25,56.8,20,73,0,101,42,63.6
146,ISSA DIOP,FRA,DF,DF,Fulham,26,Maduro,1424,0,0,0,0,4,0.25,4,0,0,0,0,0,0,1258,24,7,0.01,0.02,1258,1,100,4396,2661,884,1,1041,1,5,2,13,0,5,20,0.06,0,14.6,950,1080,88,333,358,93,30,16,15,75,28,47,3,65,25,59.5
147,AXEL DISASI,FRA,DF,DF,Chelsea,25,Maduro,2579,0,0.07,0,0.07,13,0.45,13,0,0,0,0,0,0,2496,175,24,0.01,0.07,2496,22,54.5,7182,4223,1892,21,2153,3,11,5,19,2,16,25,0.14,0.13,10.3,2031,2256,90,877,913,96.1,33,19,23,76.7,26,51,0,150,72,69.9
149,LEWIS DOBBIN,ENG,CC,CC,Everton,20,Promesa,232,0,0.39,0,0.39,6,2.33,3,0,0,2,1,0,0,127,65,11,0.09,0.51,127,21,28.6,622,211,80,20,60,0,0,2,3,1,5,40,0.78,0.2,15.6,44,65,67.7,32,36,88.9,9,7,5,55.6,5,10,0,20,2,66.7
150,MATT DOHERTY,IRL,DF,CC,Wolverhampton,31,Veterano,1150,0,0.08,0,0.08,19,1.48,18,1,0,0,0,0,0,811,205,31,0.04,0.25,811,14,42.9,1293,597,481,64,566,0,5,0,18,1,9,33.3,0.23,0.11,10.8,515,653,78.9,296,348,85.1,31,18,12,52.2,15,38,0,65,38,53.5
151,JEREMY DOKU,BEL,DL,CC,Manchester City,21,Promesa,1595,0,0.17,0.45,0.62,111,6.26,82,1,17,6,5,15,0.85,1161,825,226,0.2,0.71,1161,169,51.5,7535,4884,937,295,844,2,2,0,34,3,55,34.5,1.07,0.05,16.4,693,852,81.3,452,507,89.2,39,22,9,45,14,48,0,75,2,40
152,NICOLÁS DOMÍNGUEZ,ARG,CC,DL,Nottingham Forest,25,Maduro,1495,0,0.12,0.12,0.24,35,2.11,33,0,0,2,0,2,0.12,1049,248,33,0.03,0.24,1049,17,41.2,2030,1106,628,43,817,2,5,4,13,2,22,27.3,0.36,0.09,16.9,714,843,84.7,380,424,89.6,63,34,23,47.9,31,81,0,108,21,52.5
154,ABDOULAYE DOUCOURÉ,MLI,DL,CC,Everton,30,Maduro,2629,0,0.24,0.03,0.27,67,2.29,59,0,0,6,1,5,0.17,1190,495,100,0.08,0.42,1190,48,52.1,3292,1692,800,140,876,1,1,1,29,7,47,44.7,0.72,0.15,12.2,683,893,76.5,381,453,84.1,43,27,18,39.1,23,58,1,144,24,37.5
155,CHEICK DOUCOURÉ,MLI,CC,CC,Crystal Palace,23,Promesa,919,0,0,0,0,23,2.25,19,0,1,2,0,3,0.29,545,97,7,0.01,0.18,545,13,76.9,1153,579,318,5,418,5,0,0,7,0,6,33.3,0.2,0,21.6,367,422,87,200,222,90.1,34,17,18,60,13,54,0,74,5,35.7
156,ALFIE DOUGHTY,ENG,DF,DF,Luton Town,23,Promesa,2925,0,0.06,0.25,0.31,115,3.54,57,47,4,6,1,16,0.49,1998,818,76,0.04,0.41,1998,67,49.3,5522,2794,968,164,1190,0,9,7,60,2,26,30.8,0.25,0.08,16.3,1121,1686,66.5,496,571,86.9,63,40,37,45.1,51,94,0,185,23,65.7
157,TOMMY DOYLE,ENG,CC,CC,Wolverhampton,21,Promesa,1222,0,0,0,0,26,1.91,20,6,0,0,0,5,0.37,1061,182,6,0.01,0.17,1061,3,33.3,3091,1408,766,17,878,2,15,8,11,0,14,21.4,0.22,0,26.2,801,955,83.9,309,331,93.4,26,13,14,60.9,22,38,0,93,0,0
158,RADU DRĂGUȘIN,ROU,DF,DF,Tottenham Hotspur,21,Promesa,429,0,0,0,0,1,0.21,1,0,0,0,0,0,0,411,7,2,0.01,0.02,411,3,33.3,1550,738,312,1,352,1,0,0,3,0,1,0,0,0,10.4,326,370,88.1,130,148,87.8,5,3,3,100,5,13,0,21,9,60
161,LEWIS DUNK,ENG,DF,DF,Brighton,31,Veterano,2869,0,0.09,0.03,0.13,48,1.51,39,3,0,6,0,7,0.22,3481,145,51,0.02,0.04,3481,8,62.5,10752,5605,2681,13,3005,2,16,9,5,3,33,36.4,0.38,0.09,13.4,2977,3233,92.1,1343,1382,97.2,27,14,13,36.1,49,58,1,180,57,64
162,JHON DURÁN,COL,DL,CC,Aston Villa,19,Promesa,475,0,0.95,0,0.95,12,2.27,8,0,1,1,1,4,0.76,189,80,27,0.14,0.42,189,5,40,508,206,138,25,117,0,0,0,10,5,20,35,1.33,0.25,16.8,83,121,68.6,51,69,73.9,6,5,1,16.7,6,7,0,15,20,62.5
165,ODSONNE ÉDOUARD,FRA,DL,CC,Crystal Palace,25,Maduro,1555,0,0.41,0,0.41,45,2.6,29,0,7,7,1,2,0.12,597,326,98,0.16,0.55,597,50,38,1762,877,415,100,338,4,0,3,20,7,51,37.3,1.1,0.14,13.7,249,350,71.1,164,207,79.2,24,12,4,21.1,17,30,0,38,30,35.7
166,JOHN EGAN,IRL,DF,DF,Sheffield United,30,Maduro,482,0,0,0,0,1,0.19,0,0,0,1,0,0,0,257,13,9,0.04,0.05,257,0,0,485,233,133,1,181,0,0,2,1,0,3,33.3,0.19,0,10.3,128,185,69.2,38,49,77.6,6,4,4,36.4,10,19,1,21,14,63.6
167,HJALMAR EKDAL,SWE,DF,DF,Burnley,24,Promesa,437,0,0,0,0,2,0.41,2,0,0,0,0,0,0,268,15,3,0.01,0.06,268,3,66.7,885,523,150,1,213,0,2,0,1,0,2,50,0.21,0,16.4,191,217,88,66,71,93,4,2,2,50,10,10,0,26,4,30.8
168,ANTHONY ELANGA,SWE,DL,CC,Nottingham Forest,21,Promesa,2433,0,0.18,0.33,0.52,70,2.59,53,0,6,6,4,13,0.48,1022,507,122,0.12,0.5,1022,76,36.8,4704,2514,740,196,695,4,2,4,37,5,54,40.7,0.81,0.09,16.2,498,712,69.9,313,391,80.1,33,19,17,47.2,22,41,0,96,17,31.5
169,HARVEY ELLIOTT,ENG,CC,DL,Liverpool,20,Promesa,1352,0,0.2,0.4,0.6,78,5.19,61,9,2,3,1,10,0.67,1141,512,71,0.06,0.45,1141,20,45,3946,1753,860,122,932,3,8,10,17,3,49,32.7,1.07,0.06,20.8,825,986,83.7,457,496,92.1,27,17,10,32.3,27,33,0,78,9,40.9
171,EMERSON,BRA,DF,DF,Tottenham Hotspur,24,Promesa,1161,0,0.08,0,0.08,21,1.63,15,2,0,1,2,3,0.23,1220,249,12,0.01,0.2,1220,21,47.6,2759,1292,814,35,915,1,2,1,23,1,6,50,0.23,0.17,22.5,937,1038,90.3,529,558,94.8,36,24,21,48.8,23,56,0,82,15,41.7
172,JULIO ENCISO,PAR,CC,DL,Brighton,19,Promesa,475,0,0,0.38,0.38,23,4.34,15,0,5,3,0,2,0.38,257,131,21,0.08,0.51,257,29,58.6,1299,839,202,29,168,2,0,2,5,0,28,28.6,1.52,0,21.2,132,178,74.2,77,89,86.5,6,2,2,28.6,11,6,0,13,1,33.3
173,WATARU ENDO,JPN,CC,CC,Liverpool,30,Maduro,1722,0,0.05,0,0.05,54,2.82,43,0,2,4,2,3,0.16,1514,224,9,0.01,0.15,1514,16,62.5,3465,1523,1098,21,1295,5,1,4,19,1,10,30,0.16,0.1,22,1157,1315,88,631,684,92.3,48,28,20,32.8,24,68,0,108,31,53.4
174,CHRISTIAN ERIKSEN,DEN,CC,CC,Manchester United,31,Veterano,1141,0,0.08,0.16,0.24,46,3.63,36,8,0,0,0,3,0.24,896,246,12,0.01,0.28,896,6,50,2319,1199,620,23,745,5,9,5,13,1,13,30.8,0.32,0.08,22,648,805,80.5,340,384,88.5,18,13,12,36.4,17,22,0,86,1,12.5
175,MAXIME ESTÈVE,FRA,DF,DF,Burnley,21,Promesa,1309,0,0,0,0,8,0.55,6,0,0,0,2,1,0.07,979,52,8,0.01,0.05,979,3,33.3,2716,1664,600,3,754,1,3,1,10,0,7,0,0,0,19.1,690,821,84,308,343,89.8,27,10,18,56.3,21,54,0,62,26,54.2
176,PERVIS ESTUPIÑÁN,ECU,DF,DF,Brighton,25,Maduro,1243,0,0.14,0.22,0.36,42,3.04,37,3,1,1,0,2,0.14,1109,316,37,0.03,0.29,1109,23,39.1,3046,1806,735,88,851,1,3,4,20,2,11,54.5,0.43,0.18,18.8,809,962,84.1,480,524,91.6,26,13,14,46.7,14,47,0,90,12,46.2
177,JONNY EVANS,NIR,DF,DF,Manchester United,35,Veterano,1392,0,0,0.06,0.06,11,0.71,11,0,0,0,0,2,0.13,1005,31,8,0.01,0.03,1005,7,57.1,2683,1441,625,1,778,1,0,3,7,0,1,0,0,0,5.4,729,832,87.6,323,350,92.3,22,14,12,57.1,25,45,0,70,36,66.7
178,EBERECHI EZE,ENG,CC,DL,Crystal Palace,25,Maduro,2055,1,0.48,0.18,0.66,110,4.82,54,27,11,7,10,11,0.48,1274,658,103,0.08,0.52,1273,140,49.3,4822,2098,887,139,759,7,6,6,20,11,82,40.2,1.45,0.12,20.7,700,909,77,353,405,87.2,35,17,15,48.4,27,46,1,135,12,33.3
181,ANSU FATI,ESP,CC,DL,Brighton,20,Promesa,521,0,0.35,0,0.35,23,3.96,16,0,1,5,0,3,0.52,300,135,43,0.14,0.45,300,18,27.8,1025,451,238,50,203,1,1,3,10,2,26,42.3,1.9,0.08,14.6,178,210,84.8,117,124,94.4,5,3,1,9.1,8,8,0,22,1,9.1
182,FELIPE,BRA,DF,DF,Nottingham Forest,34,Veterano,375,0,0,0,0,4,0.97,2,0,0,1,0,0,0,257,9,4,0.02,0.04,257,2,50,692,361,156,0,206,0,1,1,1,0,3,0,0,0,16.6,183,215,85.1,61,70,87.1,12,9,9,75,4,16,0,20,14,70
183,EVAN FERGUSON,IRL,DL,DL,Brighton,18,Filial,1367,0,0.4,0,0.4,22,1.45,15,0,2,1,3,1,0.07,448,185,45,0.1,0.41,448,16,43.8,1299,414,336,62,269,1,0,2,13,6,33,60.6,1.32,0.18,15.5,244,303,80.5,156,180,86.7,14,6,5,35.7,10,16,0,25,13,41.9
184,BRUNO FERNANDES,POR,CC,DL,Manchester United,28,Maduro,3118,4,0.29,0.23,0.52,210,6.06,143,48,7,9,1,19,0.55,2585,1126,105,0.04,0.44,2580,44,43.2,6155,3408,1715,182,1872,30,22,23,62,10,90,38.9,1.01,0.07,22.8,1590,2179,73,766,876,87.4,68,38,30,34.1,49,95,0,200,21,45.7
185,ENZO FERNÁNDEZ,ARG,CC,CC,Chelsea,22,Promesa,2209,1,0.12,0.08,0.2,82,3.34,69,5,0,3,5,7,0.29,2128,488,47,0.02,0.23,2126,44,52.3,6080,3109,1675,54,1756,21,28,17,30,3,45,28.9,0.53,0.04,21.3,1574,1862,84.5,674,742,90.8,50,22,27,41.5,36,67,1,122,21,47.7
186,JOHN FLECK,SCO,CC,DF,Sheffield United,31,Veterano,92,0,0,0,0,4,3.91,4,0,0,0,0,0,0,49,11,1,0.02,0.22,49,1,0,81,39,27,0,36,1,0,0,0,0,0,0,0,0,0,29,40,72.5,21,27,77.8,1,0,0,0,0,1,0,5,2,22.2
188,PHIL FODEN,ENG,DL,CC,Manchester City,23,Promesa,2857,0,0.6,0.25,0.85,144,4.54,111,9,9,6,8,21,0.66,2146,1211,190,0.09,0.56,2146,102,46.1,6921,3434,1753,269,1684,15,6,4,49,19,105,45.7,1.51,0.18,18.5,1511,1767,85.5,990,1053,94,31,20,13,41.9,30,44,1,127,6,26.1
190,PABLO FORNALS,ESP,CC,DL,West Ham United,27,Maduro,426,0,0,0,0,16,3.37,13,0,0,0,1,1,0.21,277,98,20,0.07,0.35,277,12,50,645,256,176,27,204,0,2,0,6,0,7,42.9,0.63,0,20.1,162,210,77.1,83,96,86.5,10,6,5,31.3,8,16,0,26,3,33.3
